Name,URL,Capacity,Free Space,Uncommitted,Provisioned,Over Provisioned,Hosts,Virtual Machines,Volume Type
datastore1,ds:///vmfs/volumes/6163dca7-95da5240-b4e3-a4bf0176d23a/,3.5TB GB,937.0GB GB,3.1TB GB,5.7TB GB,2.2TB GB / 62.18519972581903 %,1,28,__DEFAULT__
datastore1 (1),ds:///vmfs/volumes/61667d44-12065aa6-83db-a4bf0176cce2/,3.5TB GB,2.0TB GB,757.8GB GB,2.2TB GB,0 GB,1,12,__DEFAULT__
datastore2 (1),ds:///vmfs/volumes/61667e94-a8d0c16e-52fd-a4bf0176cce2/,3.6TB GB,2.5TB GB,721.9GB GB,1.8TB GB,0 GB,1,13,__DEFAULT__
datastore3,ds:///vmfs/volumes/6163ec0a-926d732e-7ede-a4bf0176d23a/,3.6TB GB,1.9TB GB,42.7GB GB,1.7TB GB,0 GB,1,9,__DEFAULT__
datastore2,ds:///vmfs/volumes/6163ebea-a8b1561c-9fa9-a4bf0176d23a/,3.6TB GB,1.8TB GB,2.8TB GB,4.7TB GB,1.0TB GB / 28.747828460113013 %,1,17,__DEFAULT__
datastore1 (2),ds:///vmfs/volumes/64b79b6e-3ca16e9e-2534-ac1f6bbd5766/,3.5TB GB,2.5TB GB,2.6TB GB,3.6TB GB,45.1GB GB / 1.2534381847118357 %,1,14,__DEFAULT__
datastore3 (2),ds:///vmfs/volumes/5ebcf75b-1c02ee8a-2d7e-ac1f6bbd5766/,3.6TB GB,2.1TB GB,833.0GB GB,2.4TB GB,0 GB,1,14,__DEFAULT__
datastore2 (9),ds:///vmfs/volumes/5ebcf742-59484e50-e3d6-ac1f6bbd5766/,3.6TB GB,2.9TB GB,999.9GB GB,1.7TB GB,0 GB,1,32,__DEFAULT__
datastore1 (3),ds:///vmfs/volumes/5ead088e-ce58554c-9455-3cecef1a2f6a/,3.6TB GB,1.5TB GB,853.0GB GB,2.9TB GB,0 GB,1,10,__DEFAULT__
datastore3 (1),ds:///vmfs/volumes/5ece645f-93197d0c-3ea1-3cecef1a16f2/,5.5TB GB,4.8TB GB,2.1TB GB,2.7TB GB,0 GB,1,9,__DEFAULT__
datastore1 (10),ds:///vmfs/volumes/5ed8b742-4d4e4344-fb4f-3cecef1a16bc/,5.5TB GB,2.4TB GB,1.2TB GB,4.3TB GB,0 GB,1,9,__DEFAULT__
jujudatastore,ds:///vmfs/volumes/614c165e-aca05b80-67a3-3cecef0dc5a0/,3.5TB GB,2.0TB GB,5.4TB GB,6.9TB GB,3.4TB GB / 98.49590853040853 %,1,25,__DEFAULT__
datastore2 (1),ds:///vmfs/volumes/5ece643f-9bccc46a-d71b-3cecef1a16f2/,5.5TB GB,3.4TB GB,2.6TB GB,4.7TB GB,0 GB,1,10,__DEFAULT__
DataStore3,ds:///vmfs/volumes/62301013-e42b8be8-f0d6-08c0eb954fdc/,3.5TB GB,1.7TB GB,3.0TB GB,4.8TB GB,1.3TB GB / 36.664918125870386 %,1,12,__DEFAULT__
moskdatastore,ds:///vmfs/volumes/623d8fc0-88faeec4-16e6-08c0eb9558a4/,3.5TB GB,1.4TB GB,2.0TB GB,4.1TB GB,584.8GB GB / 16.34952922102277 %,1,10,__DEFAULT__
datastore3 (3),ds:///vmfs/volumes/5ed8c417-d7a50462-6658-3cecef1a16bc/,5.5TB GB,1.4TB GB,1.5TB GB,5.6TB GB,127.4GB GB / 2.2790217508891017 %,1,5,__DEFAULT__
datastore1 (6),ds:///vmfs/volumes/5ecf3d83-e1e453aa-2852-3cecef1a181a/,5.5TB GB,5.4TB GB,0.0bytes GB,76.5GB GB,0 GB,0,1,__DEFAULT__
DataStore5,ds:///vmfs/volumes/623010c8-76944240-f94a-08c0eb954fdc/,3.5TB GB,1.0TB GB,3.2TB GB,5.7TB GB,2.2TB GB / 61.77391878567402 %,1,10,__DEFAULT__
moskqa,ds:///vmfs/volumes/628cce7c-f8ce126c-e5c6-08c0eb9558a0/,3.5TB GB,1.8TB GB,3.9TB GB,5.6TB GB,2.1TB GB / 58.999312499894394 %,1,14,__DEFAULT__
datastore1 (13),ds:///vmfs/volumes/62304cb5-9497e794-e9c9-08c0eb9558a4/,319.0GB GB,316.5GB GB,0.0bytes GB,2.5GB GB,0 GB,1,0,__DEFAULT__
datastore_51.222.8.31_2,ds:///vmfs/volumes/5eafea59-42cc1362-e063-3cecef1a2f6a/,3.6TB GB,3.0TB GB,1.7TB GB,2.4TB GB,0 GB,1,35,__DEFAULT__
datastore2 (4),ds:///vmfs/volumes/5eacf9f9-34d0684c-07b2-3cecef1a3050/,3.6TB GB,1.1TB GB,1.5TB GB,4.1TB GB,477.6GB GB / 12.81793249937967 %,1,16,__DEFAULT__
Datastore 2,ds:///vmfs/volumes/6279e9f9-d9f1211c-c73a-08c0eb9558a0/,3.5TB GB,1.4TB GB,3.1TB GB,5.2TB GB,1.7TB GB / 48.730909947792576 %,1,15,__DEFAULT__
DataStore2,ds:///vmfs/volumes/62300fd9-966377f8-7a76-08c0eb954fdc/,3.5TB GB,1.8TB GB,2.8TB GB,4.5TB GB,1014.2GB GB / 28.35551980231146 %,1,18,__DEFAULT__
datastore1 (1),ds:///vmfs/volumes/5ece615b-486a60a2-0214-3cecef1a16f2/,5.5TB GB,3.8TB GB,2.9TB GB,4.6TB GB,0 GB,1,28,__DEFAULT__
datastore1 (8),ds:///vmfs/volumes/5eacef5c-c07490bc-4c42-3cecef1a3050/,3.6TB GB,3.3TB GB,1.9TB GB,2.2TB GB,0 GB,1,13,__DEFAULT__
datastore1 (15),ds:///vmfs/volumes/6279dfe3-a4aa9bbc-fe13-08c0eb9558a0/,319.0GB GB,316.9GB GB,0.0bytes GB,2.1GB GB,0 GB,1,1,__DEFAULT__
datastore3 (6),ds:///vmfs/volumes/5eacfa13-9cf74e2a-e933-3cecef1a3050/,3.6TB GB,1.4TB GB,2.4TB GB,4.7TB GB,1.1TB GB / 29.173522664312028 %,1,11,__DEFAULT__
Datastore 5,ds:///vmfs/volumes/62a00b85-e04c15ee-ab88-3cecef1c77a8/,3.6TB GB,1.4TB GB,1.2TB GB,3.4TB GB,0 GB,1,27,__DEFAULT__
datastore1 (12),ds:///vmfs/volumes/62300e25-7652ad9c-1b91-08c0eb954fdc/,319.0GB GB,317.6GB GB,0.0bytes GB,1.4GB GB,0 GB,1,0,__DEFAULT__
datastore2 (3),ds:///vmfs/volumes/5ecf409d-32ee5c18-d5aa-3cecef1a181a/,5.5TB GB,5.5TB GB,0.0bytes GB,1001.0MB GB,0 GB,0,5,__DEFAULT__
Datastore 3,ds:///vmfs/volumes/623061dc-16245d24-2853-08c0eb9558a4/,7.0TB GB,951.6GB GB,6.8TB GB,12.9TB GB,5.9TB GB / 84.02976091876141 %,1,48,__DEFAULT__
