Name,Guest,Instance UUID,Annotation,Memory,CPUs,NICs,Disks,RootDiskSize
rocp-mw45z-worker-0-hfnkv,Red Hat Enterprise Linux 8 (64-bit),676769aa-5075-4f93-a5c6-28b34c22adee,rocp-mw45z-worker-0-hfnkv,24,8,1,1,144
rocp-mw45z-worker-0-25jtv,Red Hat Enterprise Linux 8 (64-bit),d9308903-2f77-4358-8482-ea515e509d74,rocp-mw45z-worker-0-25jtv,24,8,1,1,144
rocp-mw45z-master-0,Red Hat Enterprise Linux 8 (64-bit),5012b624-0122-6b09-16e1-50046777dc89,Created By OpenShift Installer,16,4,1,1,136
rocp-mw45z-master-2,Red Hat Enterprise Linux 8 (64-bit),50129b66-e1ec-bf99-cfa9-9654049d7ddb,Created By OpenShift Installer,16,4,1,1,136
rocp-mw45z-master-1,Red Hat Enterprise Linux 8 (64-bit),5012ed05-9d35-913d-c4ab-37fe3e1df8ed,Created By OpenShift Installer,16,4,1,1,136
rocp-mw45z-rhcos-generated-region-generated-zone,Red Hat Enterprise Linux 8 (64-bit),50122cab-d422-2c84-2b52-6eeb56862dcf,,4,2,1,1,16
JujuController,Ubuntu Linux (64-bit),529d3575-0f97-200d-85ee-25dcb03b8411,,8,4,1,1,58
MaasNode,Ubuntu Linux (64-bit),5012bb08-bdef-8500-43bb-4c30a90d142b,,16,4,1,2,187
k8s-master-1,Ubuntu Linux (64-bit),5012166b-2f94-f855-20f9-b23d71199a9a,,16,8,1,2,73
JujuCompute2,Ubuntu Linux (64-bit),50121571-33c3-e3cf-6848-2b6a5e44219d,,16,8,2,2,385
ldap-server-centos7,CentOS 7 (64-bit),50120ee7-b7e6-5781-4e8d-11ae8cdfc493,,8,4,1,1,2
JujuCompute1,Ubuntu Linux (64-bit),501209a8-61eb-b0b2-cace-e7037fa8583c,,16,8,2,2,365
rocp-mw45z-worker-0-6c554,Red Hat Enterprise Linux 8 (64-bit),1d33cf21-2728-41b9-9f78-964dec80c352,rocp-mw45z-worker-0-6c554,24,8,1,1,144
