Network Name,VM Name,VM Instance UUID
canonical,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
canonical,MaasNode,5012bb08-bdef-8500-43bb-4c30a90d142b
canonical,JujuController,529d3575-0f97-200d-85ee-25dcb03b8411
canonical,JujuCompute2,50121571-33c3-e3cf-6848-2b6a5e44219d
canonical,JujuCompute3,50129107-3469-f757-c29e-734a26e991ad
canonical,JujuCompute1,501209a8-61eb-b0b2-cace-e7037fa8583c
RHV,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
Internal_Network,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
Internal_Network,Landingvm,52d359a1-b5c7-1f15-2cc6-033bc85b58d8
Internal_Network,CephCS_0.3,52b722c0-a8b6-ca08-df69-21f9fdda6868
Internal_Network,Target_NFS,525774d2-d386-ac67-a2ae-623766320d6c
Internal_Network,KVM,527ca8c4-4a70-3a29-cf5c-665515ea1e00
Internal_Network,kubeadm-master,50125b73-42e1-30b2-904d-6749945887c6
Internal_Network,kubeadm-worker-1,50124e4c-b570-f9fd-7ac7-5bc236397aba
Internal_Network,kubeadm-worker-2,5012d5e2-531f-a11d-4a48-ed1e1db00486
Internal_Network,kubeadm2-master,50127a30-13fa-383b-a567-a57fd7fb6180
Internal_Network,kubeadm2-worker-1,501273af-8c97-f2d7-107a-3d7ac341150b
Internal_Network,kubeadm2-worker-2,5012736a-fa88-a5f9-d28e-633593c5a4f5
RHOCP,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
RHOCP,ocp-deployment-host,50125075-97a5-9e95-75f4-21e8c90be092
RHOCP,4-vcpu-8GB-RAM-100-GB-Storage-Centos7,50126de2-a731-2a19-d87c-91b67e27b9a9
RHOCP,8-CPU-16GB-RAM-Disk1-150GB-Disk2-200GB,50129456-464a-9f52-2c9d-7a2ecb381e24
RHOCP,rancher-server,5012476d-e1cb-50a3-5a10-a86ac3a6cb57
RHOCP,rancher-k8s-master1,5012f754-be5c-b9f1-6de4-95a582ca6379
RHOCP,rancher-k8s-worker1,501283dc-8644-5eea-ab54-6c303b3683ee
RHOCP,rancher-k8s-worker2,50121110-7bcd-9ef4-ba2f-ea06adbf0fe7
RHOCP,docker-registry,5012d63e-51ef-b256-0140-a327f4d27760
RHOCP,ldap-server-centos7,50120ee7-b7e6-5781-4e8d-11ae8cdfc493
RHOCP,k8s-master-1,5012166b-2f94-f855-20f9-b23d71199a9a
RHOCP,k8s-worker-1,50126e4b-af79-b1a4-ba19-256af5b807eb
RHOCP,k8s-worker-2,5012c99d-de51-ba6c-becc-3ebf26aea712
RHOCP,k8s-worker-3,5012c74e-fcdf-bcbb-160b-7bde9a24c252
RHOCP,rocp-mw45z-rhcos-generated-region-generated-zone,50122cab-d422-2c84-2b52-6eeb56862dcf
RHOCP,rocp-mw45z-master-2,50129b66-e1ec-bf99-cfa9-9654049d7ddb
RHOCP,rocp-mw45z-master-0,5012b624-0122-6b09-16e1-50046777dc89
RHOCP,rocp-mw45z-master-1,5012ed05-9d35-913d-c4ab-37fe3e1df8ed
RHOCP,rocp-mw45z-worker-0-25jtv,d9308903-2f77-4358-8482-ea515e509d74
RHOCP,rocp-mw45z-worker-0-6c554,1d33cf21-2728-41b9-9f78-964dec80c352
RHOCP,rocp-mw45z-worker-0-hfnkv,676769aa-5075-4f93-a5c6-28b34c22adee
Internal_Endpoint,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
External_Network,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
External_Network,Landingvm,52d359a1-b5c7-1f15-2cc6-033bc85b58d8
RHOSP,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
RHOSP,ceph-admin-node,50127bd3-4f0c-50df-1912-c72ea062846d
RHOSP,ceph-node1,50129585-4006-f053-17ef-1dcc02a74d95
RHOSP,ceph-node2,50120174-7d6b-d63b-e919-dab4d7a48c62
RHOSP,ceph-node3,50123447-aa8f-45ee-330d-cc056061fd6c
kolla-osa,PFsense,5238129c-3ca6-79ce-5e15-8d9696118e4a
kolla-osa,openstack-ansible,50121b7a-30a4-ddb9-5863-89b6882f98f3
kolla-osa,Rancher,50120c0e-beed-ff55-97ef-9787d0008e32
kolla-osa,kolla-ansible-controller,50125080-fea9-5a1e-d7f7-2bc1386e2013
kolla-osa,kolla-ansible-compute-1,5012a437-31db-754b-8554-eaa5e90441b7
kolla-osa,kolla-ansible-compute-2,501214b3-d4b3-4419-eec9-e274e1230e5a
kolla-osa,kolla-controller-bobcat,50127836-74cf-1bb4-6974-cb6418f6f726
kolla-osa,kolla-compute-1-bobcat,5012ae42-77be-02ea-7157-e4c95599d1ca
kolla-osa,osa2-compute-1,50124684-e501-e2c5-d949-887c4a10bb9b
kolla-osa,openstack-ansible-2-controller,5012d824-431d-03c0-23ea-58b2ead249f3
kolla-osa,openstack-ansible-2-compute,50124bff-eee8-a6dd-2572-8867b0b681f8
Lan1,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
Lan1,Windows,52b88cd4-76d3-e694-6eee-6cab541388dd
Lan1,RHOSPMANAGER,52e5d52d-252e-9d6f-a75e-9d335efceb28
Lan1,RHOSPManager_BKP,50125450-b572-109d-f6c4-f81aeaf2bb79
Lan1,PFsense_BKPRHOSP,50122073-fed8-44a7-b75a-a73a036c79d2
Lan7,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
Lan7,PFsense_BKPRHOSP,50122073-fed8-44a7-b75a-a73a036c79d2
Lan6,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
Lan6,PFsense_BKPRHOSP,50122073-fed8-44a7-b75a-a73a036c79d2
Lan5,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
Lan5,Windows,52b88cd4-76d3-e694-6eee-6cab541388dd
Lan5,PFsense_BKPRHOSP,50122073-fed8-44a7-b75a-a73a036c79d2
Lan4,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
Lan4,PFsense_BKPRHOSP,50122073-fed8-44a7-b75a-a73a036c79d2
TestIPv4,PFsenseIPv6 Test,5012f631-ae81-84f8-4f66-878508214b70
TestIPv4,ADP_Windows10,5012c216-6aa6-05a5-6e2a-7997bbc1e0aa
Baremetal_Internal,Pushkar_RH_Build_29.1,50123238-c88c-91ef-390e-6fdb512b8e48
juju4,LandingVM_Roshan,52136823-7cb2-dab9-2cde-9e2a2e1ad058
juju4,pfsense,50229f2a-8bb9-9529-dd9d-5421953508bf
juju4,NEW_NFS.1.34,52a8941d-cedd-20a5-fc9b-fbda9b563602
juju4,Terminal-server-Win-10-1.98,50127136-01d3-5cc7-dbc1-250e24fec1ea
juju4,Terminal_server-2-1.97,50129140-e875-0a07-b31d-25c85121cd81
juju4,Landing_VM_Divya,50369d8f-8999-1794-387c-101f24f80c6c
juju4,Kolla_Wallaby_IPv6_Test,5012ef6f-c3bd-c0af-3aee-f9f55696d3f1
juju4,Landing_VM_Pushkar,52b14bdc-d610-623b-1057-7df75a16a191
external,LandingVM_Rohit,52fd0dda-646b-831b-acc6-eb82686896ec
external,Landing_VM_rohitk,52612b63-46e8-1cb8-f209-3141e4521763
Internal,LandingVM_Rohit,52fd0dda-646b-831b-acc6-eb82686896ec
Internal,Landing_VM_rohitk,52612b63-46e8-1cb8-f209-3141e4521763
IPv6,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
JujuTrial172.172.1.1,pfsense,50229f2a-8bb9-9529-dd9d-5421953508bf
Lan2,pfsense (1),521ca276-b69b-ec29-60f3-503dfdf6a963
Lan2,PFsense_BKPRHOSP,50122073-fed8-44a7-b75a-a73a036c79d2
Internal_Network,Rajneesh_LandingVM,5234d57f-2a3a-1b53-7904-9f6ff047fa16
